
-------------------------------------------------------------------------------
eosDaniela/eosSLy4,  MDIVxSDIV=151x301,  accuracy=1e-06
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi    r_plus     r_minus    exp_gamma_eq    exp_gamma_plus    exp_gamma_minus    conv_rad    conv_plus    conv_minus  chi    q    Mgeom    M2_geom   Jgeom   S3_geom    M2_asy    M2    S3_asy    S3    B0_geom    B0/M^2    M2^GH_geom   S3^GH_geom   M4_geom   M4_asy^GH_geom   B2/M^4   S5_geom  B2_asy/M^4   M4_asy_geom   S5_asy_geom  M4_geom_2points  M4_geom_3points  M4_geom_4points
-------------------------------------------------------------------------------
9.47690e+14 1.40920e+00 1.54996e+00 1.22709e+01 3.66551e-01 1.00058e+00 2.42199e-02 6.10597e-01 1.46397e+00 0.00000e+00 2.90004e+00 2.49394e-01 4.85732e-01 2.33392e-02 4.49795e-01 1.00585e+01 9.12080e-01 1.00058e+00 1.00058e+00 4.58340e+00 0.00000e+00 1.29928e+01 9.89628e-01 1.00000e+00 9.93811e-01 1.21996e+00 1.00000e+00 1.16764e+00 3.07475e-01 -4.54168e-01 2.07908e+00 -4.07911e+00 1.32908e+00 -5.19845e+00 -5.49703e+01 -5.49370e+01 -2.10048e-01 -2.09890e-01 -1.03799e+00 -2.40133e-01 -4.19734e+00 -5.33449e+00 3.61156e+01 6.09586e+01 5.91761e-02 -5.99452e+03 7.44087e+05 6.01745e+01 -2.95691e+07 2.05058e+01 1.95365e+01 1.92621e+01 
---------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure   Omega
3.2996700e-01 8.0000000e-01 -6.7636804e-01 -3.3128560e-02 3.2133512e-01 1.2259608e-01 4.6266498e+34 3.6655105e-01
3.2996700e-01 8.0666667e-01 -6.7624078e-01 -3.3114023e-02 3.2128768e-01 1.2255745e-01 4.6199822e+34 3.6655105e-01
3.2996700e-01 8.1333333e-01 -6.7611247e-01 -3.3099343e-02 3.2123977e-01 1.2251850e-01 4.6132626e+34 3.6655105e-01
3.2996700e-01 8.2000000e-01 -6.7598310e-01 -3.3084515e-02 3.2119142e-01 1.2247924e-01 4.6064908e+34 3.6655105e-01
3.2996700e-01 8.2666667e-01 -6.7585269e-01 -3.3069538e-02 3.2114265e-01 1.2243966e-01 4.5996670e+34 3.6655105e-01
3.2996700e-01 8.3333333e-01 -6.7572122e-01 -3.3054409e-02 3.2109351e-01 1.2239977e-01 4.5927911e+34 3.6655105e-01
3.2996700e-01 8.4000000e-01 -6.7558871e-01 -3.3039129e-02 3.2104404e-01 1.2235956e-01 4.5858634e+34 3.6655105e-01
3.2996700e-01 8.4666667e-01 -6.7545515e-01 -3.3023700e-02 3.2099427e-01 1.2231903e-01 4.5788842e+34 3.6655105e-01
3.2996700e-01 8.5333333e-01 -6.7532056e-01 -3.3008127e-02 3.2094424e-01 1.2227819e-01 4.5718539e+34 3.6655105e-01
3.2996700e-01 8.6000000e-01 -6.7518492e-01 -3.2992417e-02 3.2089401e-01 1.2223704e-01 4.5647730e+34 3.6655105e-01
3.2996700e-01 8.6666667e-01 -6.7504826e-01 -3.2976582e-02 3.2084358e-01 1.2219557e-01 4.5576419e+34 3.6655105e-01
3.2996700e-01 8.7333333e-01 -6.7491057e-01 -3.2960634e-02 3.2079299e-01 1.2215378e-01 4.5504612e+34 3.6655105e-01
3.2996700e-01 8.8000000e-01 -6.7477184e-01 -3.2944588e-02 3.2074223e-01 1.2211169e-01 4.5432316e+34 3.6655105e-01
3.2996700e-01 8.8666667e-01 -6.7463209e-01 -3.2928460e-02 3.2069129e-01 1.2206930e-01 4.5359535e+34 3.6655105e-01
3.2996700e-01 8.9333333e-01 -6.7449128e-01 -3.2912268e-02 3.2064011e-01 1.2202659e-01 4.5286273e+34 3.6655105e-01
3.2996700e-01 9.0000000e-01 -6.7434942e-01 -3.2896028e-02 3.2058863e-01 1.2198359e-01 4.5212530e+34 3.6655105e-01
3.2996700e-01 9.0666667e-01 -6.7420647e-01 -3.2879751e-02 3.2053673e-01 1.2194029e-01 4.5138304e+34 3.6655105e-01
3.2996700e-01 9.1333333e-01 -6.7406241e-01 -3.2863442e-02 3.2048427e-01 1.2189670e-01 4.5063586e+34 3.6655105e-01
3.2996700e-01 9.2000000e-01 -6.7391718e-01 -3.2847094e-02 3.2043107e-01 1.2185281e-01 4.4988360e+34 3.6655105e-01
